model,L,AIC,AICc,BIC,N,p
mtART+G8+FC+IO,-171294.406199,344536.812399,2243836.812399,349237.867447,974,0.0
mtART+G8+FO,-169178.45228,340302.90456,2235706.90456,344999.133063,973,0.0
PMB+IC,-179206.304787,360320.609575,2182460.609575,364925.133718,954,0.0
mtMAM,-202633.296441,407172.592881,2225496.592881,411772.290479,953,0.0
mtMAM+IC,-201014.475275,403936.950551,2226076.950551,408541.474694,954,0.0
mtMAM+IO,-200980.680291,403869.360581,2226009.360581,408473.884724,954,0.0
mtMAM+FC,-193057.164059,388058.328118,2279570.328118,392749.730075,972,0.0
mtMAM+FC+IC,-191314.372164,384574.744328,2279978.744328,389270.972831,973,0.0
mtMAM+FC+IO,-191280.90166,384507.803319,2279911.803319,389204.031822,973,0.0
mtMAM+FO,-189184.714002,380313.428005,2271825.428005,385004.829962,972,0.0
mtMAM+FO+IC,-187396.905242,376739.810484,2272143.810484,381436.038987,973,0.0
mtMAM+FO+IO,-187363.845117,376673.690234,2272077.690234,381369.918736,973,0.0
mtMAM+G8,-177173.446002,356254.892005,2178394.892005,360859.416148,954,0.0
mtART+G8+FO+IO,-169169.380356,340286.760713,2239586.760713,344987.81576,974,0.0
LG+IC,-179314.562373,360537.124745,2182677.124745,365141.648889,954,0.0
LG+IO,-179282.215459,360472.430919,2182612.430919,365076.955062,954,0.0
LG+FC+IC,-178863.959874,359673.919748,2255077.919748,364370.14825,973,0.0
LG+FO,-183201.51148,368347.02296,2259859.02296,373038.424918,972,0.0
LG+FO+IC,-181342.677902,364631.355804,2260035.355804,369327.584306,973,0.0
LG+FO+IO,-181310.410141,364566.820281,2259970.820281,369263.048784,973,0.0
LG+G8,-165177.548424,332263.096848,2154403.096848,336867.620991,954,0.0
LG+G8+IC,-165195.558044,332301.116088,2158261.116088,336910.466777,955,0.0
LG+G8+IO,-165157.845211,332225.690421,2158185.690421,336835.04111,955,0.0
mtART+FO,-194036.497385,390016.994769,2281528.994769,394708.396727,972,0.0
LG+G8+FC+IC,-165047.268595,332042.53719,2231342.53719,336743.592238,974,0.0
LG+G8+FC+IO,-165001.584935,331951.169871,2231251.169871,336652.224919,974,0.0
LG+G8+FO,-164334.125239,330614.250477,2226018.250477,335310.47898,973,0.0
LG+G8+FO+IC,-164371.385014,330690.770028,2229990.770028,335391.825076,974,0.0
LG+G8+FO+IO,-164331.748108,330611.496216,2229911.496216,335312.551264,974,0.0
mtART,-201052.917391,404011.834782,2222335.834782,408611.53238,953,0.0
mtART+IC,-199406.284414,400720.568828,2222860.568828,405325.092972,954,0.0
mtART+FC,-191376.427729,384696.855459,2276208.855459,389388.257416,972,0.0
mtART+FC+IC,-189735.462338,381416.924676,2276820.924676,386113.153178,973,0.0
mtART+FC+IO,-189702.505126,381351.010251,2276755.010251,386047.238754,973,0.0
LG+G8+FC,-165007.395012,331960.790023,2227364.790023,336657.018526,973,0.0
mtREV+G8+FO+IO,-166480.018877,334908.037754,2234208.037754,339609.092802,974,0.0
mtZOA,-192676.703762,387259.407523,2205583.407523,391859.105121,953,0.0
mtZOA+IC,-191091.145068,384090.290136,2206230.290136,388694.81428,954,0.0
mtZOA+IO,-191058.35347,384024.70694,2206164.70694,388629.231084,954,0.0
mtZOA+FC,-185750.893946,373445.787893,2264957.787893,378137.18985,972,0.0
mtZOA+FC+IC,-184098.930342,370143.860685,2265547.860685,374840.089187,973,0.0
mtZOA+FC+IO,-184066.160835,370078.32167,2265482.32167,374774.550173,973,0.0
mtZOA+FO,-183356.159397,368656.318795,2260168.318795,373347.720752,972,0.0
mtZOA+FO+IC,-181729.144247,365404.288494,2260808.288494,370100.516996,973,0.0
mtMAM+G8+IC,-177229.737661,356369.475322,2182329.475322,360978.82601,955,0.0
mtZOA+G8,-171032.029599,343972.059198,2166112.059198,348576.583341,954,0.0
mtZOA+G8+IC,-171069.046266,344048.092533,2170008.092533,348657.443221,955,0.0
mtZOA+G8+IO,-171018.411319,343946.822638,2169906.822638,348556.173327,955,0.0
mtZOA+G8+FC,-167922.396899,337790.793798,2233194.793798,342487.022301,973,0.0
mtZOA+G8+FC+IC,-167979.400086,337906.800172,2237206.800172,342607.85522,974,0.0
mtZOA+G8+FC+IO,-167933.794442,337815.588884,2237115.588884,342516.643932,974,0.0
mtZOA+G8+FO,-166593.473148,335132.946296,2230536.946296,339829.174799,973,0.0
mtZOA+G8+FO+IC,-166633.982979,335215.965959,2234515.965959,339917.021006,974,0.0
mtZOA+G8+FO+IO,-166593.342514,335134.685028,2234434.685028,339835.740076,974,0.0
PMB,-181065.830637,364037.661275,2182361.661275,368637.358873,953,0.0
mtZOA+FO+IO,-181696.340636,365338.681272,2260742.681272,370034.909774,973,0.0
mtMAM+G8+IO,-177168.387708,356246.775416,2182206.775416,360856.126104,955,0.0
mtMAM+G8+FC,-172068.709269,346083.418538,2241487.418538,350779.64704,973,0.0
mtMAM+G8+FC+IC,-172112.352939,346172.705878,2245472.705878,350873.760926,974,0.0
mtMAM+G8+FC+IO,-172060.899653,346069.799306,2245369.799306,350770.854353,974,0.0
mtMAM+G8+FO,-170232.175155,342410.350309,2237814.350309,347106.578812,973,0.0
mtMAM+G8+FO+IO,-170239.776948,342427.553896,2241727.553896,347128.608943,974,0.0
mtREV,-191442.865463,384791.730927,2203115.730927,389391.428525,953,0.0
mtREV+IC,-189960.699423,381829.398847,2203969.398847,386433.92299,954,0.0
mtREV+IO,-189927.393029,381762.786058,2203902.786058,386367.310202,954,0.0
mtREV+FC,-184173.827035,370291.65407,2261803.65407,374983.056027,972,0.0
mtREV+G8+FO+IC,-166520.200762,334988.401523,2234288.401523,339689.456571,974,0.0
